model,wape,mae,rmse,stockout_risk_proxy,overstock_cost_proxy
xgboost,0.26671693479180814,16.64597543714463,25.587868195942047,521137.10066470143,43959.08113131547
catboost,0.2671366116880749,16.67216774215236,25.56962429790333,502762.609789891,45260.86806874913
lightgbm,0.2673975233956152,16.688451409623152,25.56607975597289,525097.1598598443,43640.04461473806
deep_learning,0.2850668099350295,17.791202946403317,27.66529614982663,583605.1714495253,42830.198838119504
