iter	Passed	Remaining
270	263543	222698
271	264550	221755
272	265458	220729
273	266504	219817
274	267395	218778
275	268246	217707
276	269096	216637
277	270078	215674
278	271160	214790
279	272161	213841
280	273195	212917
281	274127	211914
282	275055	210908
283	276001	209916
284	276933	208915
285	277954	207979
286	278954	207029
287	279872	206017
288	281042	205190
289	281903	204136
290	282787	203101
291	283863	202204
292	284706	201140
293	285618	200127
294	286564	199138
295	287530	198162
296	288577	197243
297	289729	196393
298	290932	195576
299	292007	194671
300	293168	193822
301	294127	192838
302	295044	191827
303	296096	190904
304	297216	190023
305	298175	189039
306	299059	188008
307	300020	187025
308	300991	186049
309	302121	185171
310	302997	184137
311	303910	183125
312	304971	182203
313	305904	181204
314	306847	180211
315	307758	179201
316	308816	178276
317	309661	177227
318	310780	176336
319	311887	175436
320	312807	174431
321	313877	173509
322	314869	172544
323	316065	171689
324	316939	170659
325	317924	169689
326	319013	168774
327	319888	167746
328	320882	166780
329	322090	165925
330	323059	164945
331	324109	164007
332	325215	163096
333	326224	162135
334	327225	161170
335	328220	160202
336	329271	159261
337	330352	158334
338	331512	157444
339	332497	156469
340	333484	155495
341	334467	154520
342	335369	153507
343	336440	152571
344	337240	151513
345	338219	150537
346	339184	149554
347	339990	148501
348	341062	147565
349	341938	146544
350	343034	145618
351	344232	144734
352	345301	143793
353	346273	142813
354	347209	141817
355	348056	140787
356	349139	139851
357	350317	138952
358	351318	137983
359	352290	137001
360	353593	136148
361	354605	135181
362	355460	134154
363	356709	133276
364	357755	132320
365	358695	131325
366	359701	130355
367	360659	129367
368	361694	128406
369	362771	127460
370	363729	126471
371	364694	125486
372	365510	124449
373	366374	123431
374	367252	122417
375	368427	121502
376	369301	120488
377	370276	119507
378	371422	118580
379	372986	117785
380	374021	116820
381	375238	115911
382	376550	115029
383	377500	114036
384	378484	113053
385	379505	112082
386	380536	111112
387	381677	110175
388	382721	109208
389	383873	108271
390	385075	107348
391	386095	106373
392	387093	105391
393	388071	104404
394	389095	103430
395	390171	102469
396	391272	101514
397	392261	100529
398	393170	99524
399	394129	98532
400	394982	97514
401	395920	96518
402	396969	95548
403	397993	94572
404	398915	93572
405	399854	92577
406	400902	91606
407	401891	90622
408	402993	89663
409	403823	88644
410	404845	87667
411	405763	86667
412	406748	85683
413	407666	84684
414	408812	83732
415	410208	82830
416	411381	81881
417	412406	80902
418	413492	79935
419	414516	78955
420	415690	78003
421	416790	77037
422	418066	76101
423	419256	75149
424	420269	74165
425	421396	73200
426	422430	72218
427	423389	71224
428	424488	70253
429	425657	69293
430	426539	68285
431	427470	67286
432	428296	66272
433	429399	65300
434	430530	64332
435	431561	63348
436	432942	62415
437	434090	61446
438	435005	60444
439	436603	59536
440	437771	58568
441	438709	57568
442	439850	56594
443	441015	55623
444	442258	54661
445	443298	53672
446	444403	52692
447	445525	51712
448	446514	50717
449	447422	49713
450	448463	48724
451	449396	47723
452	450373	46727
453	451503	45747
454	452575	44760
455	453680	43776
456	454689	42782
457	455657	41785
458	456771	40800
459	457730	39802
460	458946	38826
461	459953	37831
462	461083	36846
463	462222	35862
464	463355	34876
465	464441	33886
466	465504	32894
467	466438	31893
468	467446	30897
469	468301	29891
470	469455	28904
471	470809	27929
472	471807	26931
473	472904	25939
474	473860	24940
475	474815	23940
476	476363	22969
477	477950	21997
478	479688	21030
479	481887	20078
480	483901	19114
481	485898	18145
482	488216	17183
483	490150	16203
484	492081	15219
485	493817	14225
486	495711	13232
487	497333	12229
488	498739	11219
489	499828	10200
490	501185	9186
491	502449	8169
492	503458	7148
493	504431	6126
494	505585	5106
495	507873	4095
496	509129	3073
497	511719	2055
498	513411	1028
499	514903	0
