iter	MAE
0	32.12098972
1	31.00148503
2	29.96605302
3	28.99548374
4	28.0878898
5	27.24848144
6	26.46322014
7	25.7310296
8	25.04673562
9	24.41929049
10	23.83165554
11	23.28204247
12	22.78458439
13	22.31623185
14	21.89292915
15	21.50306198
16	21.13140992
17	20.78964953
18	20.48177618
19	20.19708637
20	19.92527721
21	19.67561335
22	19.44698514
23	19.24095579
24	19.04242317
25	18.86310514
26	18.6978027
27	18.54355459
28	18.40556896
29	18.27220879
30	18.1507004
31	18.03964035
32	17.93921342
33	17.85091308
34	17.74832422
35	17.6622539
36	17.58956945
37	17.5205379
38	17.44398476
39	17.38718971
40	17.32378177
41	17.27271069
42	17.22353201
43	17.17841582
44	17.13783258
45	17.09706008
46	17.05625508
47	17.01365518
48	16.98305651
49	16.95133754
50	16.91645581
51	16.89191191
52	16.86576146
53	16.84480352
54	16.81976201
55	16.8000069
56	16.77564914
57	16.74816325
58	16.73389614
59	16.71692684
60	16.7048059
61	16.68985661
62	16.67219036
63	16.65590728
64	16.64426468
65	16.63060842
66	16.61005097
67	16.59586005
68	16.58139117
69	16.56950616
70	16.55724604
71	16.5485285
72	16.53835333
73	16.52241706
74	16.51003148
75	16.50364361
76	16.49349587
77	16.48431631
78	16.47250223
79	16.4560456
80	16.4490858
81	16.43768403
82	16.42717722
83	16.41943293
84	16.40685817
85	16.39999088
86	16.39304833
87	16.38747708
88	16.37557087
89	16.36625913
90	16.35943542
91	16.35119318
92	16.34498768
93	16.33875327
94	16.33165539
95	16.32480363
96	16.31869656
97	16.31024901
98	16.30448986
99	16.30081926
100	16.29504507
101	16.290299
102	16.28560549
103	16.27903394
104	16.27488618
105	16.26927137
106	16.26375729
107	16.25883743
108	16.25502045
109	16.24605691
110	16.23946975
111	16.23587049
112	16.23270408
113	16.22749572
114	16.2238888
115	16.21660106
116	16.21266012
117	16.2032621
118	16.2005011
119	16.19281716
120	16.18937165
121	16.18608137
122	16.1825655
123	16.17734694
124	16.17347201
125	16.1653915
126	16.15790011
127	16.15291358
128	16.14845894
129	16.14354292
130	16.1401689
131	16.1379251
132	16.13165289
133	16.12873034
134	16.12683113
135	16.12392167
136	16.1183199
137	16.11118337
138	16.10835105
139	16.10394231
140	16.0995086
141	16.09529737
142	16.08999067
143	16.08807258
144	16.08505324
145	16.08038775
146	16.07661024
147	16.07232302
148	16.06796026
149	16.06608425
150	16.0638524
151	16.0617831
152	16.05817982
153	16.05393941
154	16.0521622
155	16.04922932
156	16.04440627
157	16.0405286
