iter	MAE
158	16.03859347
159	16.03371249
160	16.03078049
161	16.0289633
162	16.02545499
163	16.02232236
164	16.02073711
165	16.01955421
166	16.01785607
167	16.01676616
168	16.01463323
169	16.01255314
170	16.01099477
171	16.00932822
172	16.00645221
173	16.00413969
174	16.00305221
175	16.00121923
176	15.99870322
177	15.99558444
178	15.99277123
179	15.99013805
180	15.98931987
181	15.98813143
182	15.98637353
183	15.98449368
184	15.98227709
185	15.98090796
186	15.97878376
187	15.97637448
188	15.97357283
189	15.97234298
190	15.96918345
191	15.9668519
192	15.96471544
193	15.96232811
194	15.95989338
195	15.957896
196	15.95603048
197	15.9539064
198	15.95347054
199	15.95177734
200	15.95064859
201	15.94894616
202	15.94683635
203	15.945367
204	15.94410381
205	15.94181231
206	15.9408931
207	15.93926229
208	15.93741764
209	15.93537057
210	15.9346804
211	15.93402496
212	15.93354675
213	15.93182478
214	15.93010337
215	15.92908254
216	15.92652235
217	15.9256971
218	15.92430867
219	15.92279797
220	15.92156057
221	15.92108794
222	15.92029821
223	15.91843907
224	15.91727648
225	15.9151458
226	15.91427458
227	15.91339075
228	15.91103143
229	15.91034989
230	15.90934629
231	15.90789451
232	15.90590979
233	15.9042607
234	15.90315301
235	15.90230173
236	15.90177309
237	15.90032546
238	15.89971605
239	15.89829581
240	15.89694552
241	15.89573681
242	15.89413081
243	15.89254162
244	15.89139796
245	15.89064883
246	15.88946471
247	15.88817972
248	15.88687575
249	15.88537296
250	15.88498408
251	15.88331973
252	15.88184168
253	15.88107448
254	15.88009254
255	15.8791608
256	15.87842853
257	15.87722478
258	15.87649578
259	15.87591254
260	15.87481213
261	15.87353872
262	15.8719261
263	15.87133268
264	15.86993796
265	15.86890109
266	15.86843008
267	15.86670123
268	15.86621246
269	15.86488233
270	15.86425297
271	15.86325778
272	15.86277877
273	15.86219317
274	15.86149273
275	15.86074417
276	15.86024768
277	15.85904655
278	15.85838866
279	15.8576962
280	15.85663623
281	15.85547492
282	15.85430044
283	15.85287308
284	15.85197322
285	15.85135492
286	15.84997462
287	15.84960462
288	15.84847632
289	15.84825127
290	15.84753258
291	15.84676084
292	15.84642068
293	15.84523642
294	15.84370999
295	15.84215942
296	15.84080197
297	15.83955621
298	15.83881264
299	15.83828063
300	15.83762181
301	15.83708249
302	15.83643943
303	15.83562778
304	15.83480063
305	15.83372585
306	15.83299876
307	15.83249053
308	15.83192296
309	15.83081879
310	15.83039692
311	15.82922835
312	15.82814715
313	15.82716439
314	15.82653322
315	15.82561837
316	15.82441464
317	15.82385105
318	15.82292117
319	15.82202925
320	15.82158829
321	15.82047585
322	15.81976313
323	15.81883295
324	15.81837074
325	15.81752518
326	15.81675633
327	15.81606395
328	15.81509069
329	15.8140264
330	15.81357289
331	15.81273592
332	15.81235635
333	15.81147893
334	15.81079772
335	15.81011369
336	15.80922469
337	15.80867207
338	15.80790868
339	15.8068002
340	15.80615041
341	15.80544849
342	15.80452198
343	15.80411529
344	15.80356826
345	15.80270581
346	15.80234636
347	15.80209463
348	15.80113763
349	15.80050498
350	15.79972794
351	15.79896262
352	15.79838862
353	15.79758662
354	15.79659801
355	15.79633124
356	15.7958558
357	15.79540671
358	15.7951188
359	15.79387939
360	15.79262056
361	15.7921766
362	15.7917822
363	15.79087689
364	15.78990693
365	15.78930426
366	15.78863304
367	15.78810514
368	15.78730342
369	15.78671052
370	15.78627578
371	15.78585547
372	15.7854973
373	15.78529124
374	15.78502244
375	15.78428526
376	15.78399427
377	15.78338255
378	15.78272652
379	15.782268
380	15.78168134
381	15.78141823
382	15.78061595
383	15.78022162
384	15.77953843
385	15.77878435
386	15.77855144
387	15.77803197
388	15.77749722
389	15.77654239
390	15.77604238
391	15.7755719
392	15.77484567
393	15.7743107
394	15.77353852
395	15.77297251
396	15.77237716
397	15.77186193
398	15.77110431
399	15.7706689
400	15.77022972
401	15.76998856
402	15.76934587
403	15.7687095
404	15.76850071
405	15.76830734
406	15.76789948
407	15.76711208
408	15.76659664
409	15.76616194
410	15.76566123
411	15.7649602
412	15.76477342
413	15.76440648
414	15.76368136
415	15.76262881
416	15.76197804
417	15.76146905
418	15.76104313
419	15.76085873
420	15.76034792
421	15.75992862
422	15.75956772
423	15.75893806
424	15.75813217
425	15.75737426
426	15.75682813
427	15.75621074
428	15.75552698
429	15.7552597
430	15.75511858
431	15.75448506
432	15.75436745
433	15.75394125
434	15.75316802
435	15.75271308
436	15.75221254
437	15.75187143
438	15.75152743
439	15.75083819
440	15.75024197
441	15.75006384
442	15.74951473
443	15.74887781
444	15.74851164
445	15.74812635
446	15.74756281
447	15.74691261
448	15.74641884
449	15.74615372
450	15.74553174
451	15.74510566
452	15.74476341
453	15.7442269
454	15.7438999
455	15.74364827
456	15.74345908
457	15.74323576
458	15.74299305
459	15.74239602
460	15.74187792
461	15.7415358
462	15.7412877
463	15.74097807
464	15.74050858
465	15.74020315
466	15.73993744
467	15.73978289
468	15.73927948
469	15.7391648
470	15.73879187
471	15.73840102
472	15.73827372
473	15.73778995
474	15.73763107
475	15.73745904
476	15.73724495
477	15.73686025
478	15.73672417
479	15.73640261
480	15.73582043
481	15.73549018
482	15.73500634
483	15.7345444
484	15.73412103
485	15.73363194
486	15.73333683
487	15.73282169
488	15.73251392
489	15.73210417
490	15.731662
491	15.73127086
492	15.73112688
493	15.73071183
494	15.73015449
495	15.72964445
496	15.72925239
497	15.72877556
498	15.7286225
499	15.72828576
